,open,high,low,close,volume,datetime,date
9,34.725,35.35,34.725,35.1673,6132,1294034400000,2011-01-03 06:00:00
10,35.105,35.105,34.4255,34.5,4914,1294120800000,2011-01-04 06:00:00
11,34.4925,34.81,34.4925,34.7854,6910,1294207200000,2011-01-05 06:00:00
12,34.815,34.82495,34.495,34.495,6902,1294293600000,2011-01-06 06:00:00
13,34.64,34.6755,33.98495,34.315,4670,1294380000000,2011-01-07 06:00:00
14,34.23,34.515,33.99745,34.4795,11392,1294639200000,2011-01-10 06:00:00
15,34.59,34.62,34.3505,34.485,6822,1294725600000,2011-01-11 06:00:00
16,34.785,34.935,34.725,34.845,162078,1294812000000,2011-01-12 06:00:00
17,34.87,34.9895,34.78,34.78,9228,1294898400000,2011-01-13 06:00:00
18,34.825,35.26,34.825,35.204,10192,1294984800000,2011-01-14 06:00:00
19,35.185,35.21505,35.035,35.21505,14460,1295330400000,2011-01-18 06:00:00
20,35.24,35.24,34.47,34.475,13472,1295416800000,2011-01-19 06:00:00
21,34.34,34.34,34.18,34.24005,6064,1295503200000,2011-01-20 06:00:00
22,34.34005,34.34005,34.0,34.0,4420,1295589600000,2011-01-21 06:00:00
23,34.06,34.40505,34.06,34.355,6678,1295848800000,2011-01-24 06:00:00
24,34.225,34.38,34.134,34.2075,19556,1295935200000,2011-01-25 06:00:00
25,34.6,35.15,34.525,35.02,24360,1296021600000,2011-01-26 06:00:00
26,35.02,35.225,34.927,35.215,5708,1296108000000,2011-01-27 06:00:00
27,35.12,35.12,34.2705,34.275,7804,1296194400000,2011-01-28 06:00:00
28,34.54,34.6266,34.155,34.39,7568,1296453600000,2011-01-31 06:00:00
29,34.62,35.23995,34.58,35.15505,18234,1296540000000,2011-02-01 06:00:00
30,35.155,35.20995,34.9804,34.985,6070,1296626400000,2011-02-02 06:00:00
31,34.955,35.067,34.555,35.005,26098,1296712800000,2011-02-03 06:00:00
32,35.015,35.115,34.875,35.05,7120,1296799200000,2011-02-04 06:00:00
33,35.105,35.595,35.105,35.445,46284,1297058400000,2011-02-07 06:00:00
34,35.385,35.54005,35.365,35.54,11708,1297144800000,2011-02-08 06:00:00
35,35.565,35.565,35.35,35.51,30928,1297231200000,2011-02-09 06:00:00
36,35.265,35.585,35.265,35.474,7130,1297317600000,2011-02-10 06:00:00
37,35.435,35.9225,35.35525,35.895,14112,1297404000000,2011-02-11 06:00:00
38,35.98,36.06,35.97,35.97,14414,1297663200000,2011-02-14 06:00:00
